cve_municipio,cve_delegacion,cve_entidad,descripción entidad,descripción municipio
A01,1,01,Aguascalientes,Aguascalientes
A02,1,01,Aguascalientes,Jesús María
A03,1,01,Aguascalientes,Pabellón de Arteaga
A04,1,01,Aguascalientes,Rincón de Romos
H46,1,01,Aguascalientes,Calvillo
H83,1,01,Aguascalientes,Asientos
H84,1,01,Aguascalientes,Cosío
H85,1,01,Aguascalientes,San José de Gracia
H86,1,01,Aguascalientes,Tepezalá
Y45,1,01,Aguascalientes,Aguascalientes
Y48,1,01,Aguascalientes,San Francisco de los Romo
Y49,1,01,Aguascalientes,El Llano
A05,2,02,Baja California,Ensenada
A06,2,02,Baja California,Mexicali
A07,2,02,Baja California,Tecate
A08,2,02,Baja California,Tijuana
Y94,2,02,Baja California,Playas de Rosarito
Z31,2,02,Baja California,Tijuana
Z32,2,02,Baja California,Mexicali
Z47,2,02,Baja California,San Quintín
Y35,3,02,Baja California,Isla de Cedros
A09,3,03,Baja California Sur,La Paz
H81,3,03,Baja California Sur,Mulegé
M47,3,03,Baja California Sur,Comondú
M62,3,03,Baja California Sur,Los Cabos
Y71,3,03,Baja California Sur,Loreto
A10,4,04,Campeche,Campeche
A11,4,04,Campeche,Carmen
A12,4,04,Campeche,Champotón
A13,4,04,Campeche,Calkiní
A14,4,04,Campeche,Hecelchakán
A15,4,04,Campeche,Hopelchén
A16,4,04,Campeche,Palizada
A17,4,04,Campeche,Tenabo
X69,4,04,Campeche,Escárcega
Y98,4,04,Campeche,Calakmul
Y99,4,04,Campeche,Candelaria
A18,5,05,Coahuila de Zaragoza,Acuña
A19,5,05,Coahuila de Zaragoza,Allende
A20,5,05,Coahuila de Zaragoza,Arteaga
A21,5,05,Coahuila de Zaragoza,Castaños
A22,5,05,Coahuila de Zaragoza,Francisco I. Madero
A23,5,05,Coahuila de Zaragoza,Frontera
A24,5,05,Coahuila de Zaragoza,Guerrero
A25,5,05,Coahuila de Zaragoza,Jiménez
A26,5,05,Coahuila de Zaragoza,Matamoros
A27,5,05,Coahuila de Zaragoza,Monclova
A28,5,05,Coahuila de Zaragoza,Morelos
A29,5,05,Coahuila de Zaragoza,Múzquiz
A30,5,05,Coahuila de Zaragoza,Nava
A31,5,05,Coahuila de Zaragoza,Parras
A32,5,05,Coahuila de Zaragoza,Piedras Negras
A33,5,05,Coahuila de Zaragoza,Progreso
A34,5,05,Coahuila de Zaragoza,Ramos Arizpe
A35,5,05,Coahuila de Zaragoza,Sabinas
A36,5,05,Coahuila de Zaragoza,Saltillo
A37,5,05,Coahuila de Zaragoza,San Buenaventura
A38,5,05,Coahuila de Zaragoza,San Juan de Sabinas
A39,5,05,Coahuila de Zaragoza,San Pedro
A40,5,05,Coahuila de Zaragoza,Torreón
A41,5,05,Coahuila de Zaragoza,Viesca
A42,5,05,Coahuila de Zaragoza,Villa Unión
A43,5,05,Coahuila de Zaragoza,Zaragoza
H82,5,05,Coahuila de Zaragoza,Cuatro Ciénegas
L67,5,05,Coahuila de Zaragoza,Abasolo
L69,5,05,Coahuila de Zaragoza,Escobedo
L70,5,05,Coahuila de Zaragoza,Juárez
L71,5,05,Coahuila de Zaragoza,Lamadrid
L72,5,05,Coahuila de Zaragoza,Nadadores
L73,5,05,Coahuila de Zaragoza,Ocampo
L74,5,05,Coahuila de Zaragoza,Sacramento
M66,5,05,Coahuila de Zaragoza,Sierra Mojada
M67,5,05,Coahuila de Zaragoza,General Cepeda
L68,20,05,Coahuila de Zaragoza,Candela
M68,29,05,Coahuila de Zaragoza,Hidalgo
A44,6,06,Colima,Armería
A45,6,06,Colima,Colima
A46,6,06,Colima,Coquimatlán
A47,6,06,Colima,Cuauhtémoc
A48,6,06,Colima,Manzanillo
A49,6,06,Colima,Tecomán
A50,6,06,Colima,Minatitlán
A66,6,06,Colima,Ixtlahuacán
H26,6,06,Colima,Comala
H27,6,06,Colima,Villa de Álvarez
A51,7,07,Chiapas,Acala
A52,7,07,Chiapas,Arriaga
A53,7,07,Chiapas,Cacahoatán
A54,7,07,Chiapas,Comitán de Domínguez
A55,7,07,Chiapas,Chiapa de Corzo
A56,7,07,Chiapas,Frontera Hidalgo
A57,7,07,Chiapas,Huehuetán
A58,7,07,Chiapas,Huixtla
A59,7,07,Chiapas,Las Rosas
A60,7,07,Chiapas,Mazatán
A61,7,07,Chiapas,Metapa
A62,7,07,Chiapas,San Cristóbal de las Casas
A63,7,07,Chiapas,Socoltenango
A64,7,07,Chiapas,Suchiate
A65,7,07,Chiapas,Tapachula
A67,7,07,Chiapas,Tonalá
A68,7,07,Chiapas,Tuxtla Gutiérrez
A69,7,07,Chiapas,Tuxtla Chico
A70,7,07,Chiapas,Tuzantán
A71,7,07,Chiapas,Unión Juárez
A72,7,07,Chiapas,Venustiano Carranza
H28,7,07,Chiapas,Cintalapa
J96,7,07,Chiapas,Amatenango del Valle
J97,7,07,Chiapas,Bochil
J98,7,07,Chiapas,El Bosque
J99,7,07,Chiapas,Coapilla
K01,7,07,Chiapas,Copainalá
K02,7,07,Chiapas,Chalchihuitán
K03,7,07,Chiapas,Chamula
K04,7,07,Chiapas,Chanal
K05,7,07,Chiapas,Chenalhó
K06,7,07,Chiapas,Chicoasén
K07,7,07,Chiapas,Chilón
K08,7,07,Chiapas,Huixtán
K09,7,07,Chiapas,Huitiupán
K10,7,07,Chiapas,Ixtapa
K11,7,07,Chiapas,Chapultenango
K12,7,07,Chiapas,Larráinzar
K13,7,07,Chiapas,Mitontic
K14,7,07,Chiapas,Ocosingo
K15,7,07,Chiapas,Osumacinta
K16,7,07,Chiapas,Oxchuc
K17,7,07,Chiapas,Pantelhó
K18,7,07,Chiapas,Pueblo Nuevo Solistahuacán
K19,7,07,Chiapas,Simojovel
K20,7,07,Chiapas,Sitalá
K21,7,07,Chiapas,Soyaló
K22,7,07,Chiapas,Tenejapa
K23,7,07,Chiapas,Teopisca
K24,7,07,Chiapas,Ixtapangajoya
K25,7,07,Chiapas,Tumbalá
K26,7,07,Chiapas,Yajalón
K27,7,07,Chiapas,Zinacantán
K99,7,07,Chiapas,Amatán
L20,7,07,Chiapas,San Fernando
L53,7,07,Chiapas,Sabanilla
L99,7,07,Chiapas,Salto de Agua
M52,7,07,Chiapas,Reforma
M56,7,07,Chiapas,Tecpatán
M65,7,07,Chiapas,Tila
M69,7,07,Chiapas,Pijijiapan
M70,7,07,Chiapas,Mapastepec
M71,7,07,Chiapas,Frontera Comalapa
M72,7,07,Chiapas,Villaflores
M73,7,07,Chiapas,Angel Albino Corzo
M74,7,07,Chiapas,Jiquipilas
M75,7,07,Chiapas,Escuintla
M76,7,07,Chiapas,Acacoyagua
M77,7,07,Chiapas,Acapetahua
M78,7,07,Chiapas,Tapilula
M79,7,07,Chiapas,Ixhuatán
M80,7,07,Chiapas,Rayón
M81,7,07,Chiapas,Berriozábal
M82,7,07,Chiapas,Chiapilla
M83,7,07,Chiapas,Las Margaritas
M84,7,07,Chiapas,La Trinitaria
M85,7,07,Chiapas,Villa Comaltitlán
M86,7,07,Chiapas,Ocozocoautla de Espinosa
M87,7,07,Chiapas,Motozintla
M88,7,07,Chiapas,El Porvenir
M89,7,07,Chiapas,Bejucal de Ocampo
M90,7,07,Chiapas,Mazapa de Madero
M91,7,07,Chiapas,Amatenango de la Frontera
N82,7,07,Chiapas,Jitotol
O38,7,07,Chiapas,Sunuapa
O58,7,07,Chiapas,Altamirano
Q09,7,07,Chiapas,La Libertad
Q10,7,07,Chiapas,Catazajá
Q11,7,07,Chiapas,Pichucalco
Q12,7,07,Chiapas,Ixtacomitán
Q13,7,07,Chiapas,Juárez
Q14,7,07,Chiapas,Solosuchiapa
Q15,7,07,Chiapas,Ostuacán
Q16,7,07,Chiapas,Palenque
Q52,7,07,Chiapas,Bella Vista
Q53,7,07,Chiapas,La Concordia
Q65,7,07,Chiapas,Chicomuselo
Q68,7,07,Chiapas,Francisco León
R16,7,07,Chiapas,La Grandeza
R18,7,07,Chiapas,La Independencia
R19,7,07,Chiapas,Nicolás Ruíz
R20,7,07,Chiapas,Ocotepec
R21,7,07,Chiapas,Pantepec
R22,7,07,Chiapas,Siltepec
R23,7,07,Chiapas,Suchiapa
R24,7,07,Chiapas,Tapalapa
R25,7,07,Chiapas,Totolapa
R26,7,07,Chiapas,Tzimol
R27,7,07,Chiapas,San Lucas
V31,7,07,Chiapas,Aldama
V32,7,07,Chiapas,Benemérito de las Américas
Y47,7,07,Chiapas,San Juan Cancuc
Z09,7,07,Chiapas,San Andrés Duraznal
Z10,7,07,Chiapas,Santiago el Pinar
Z11,7,07,Chiapas,Villa Corzo
Z22,7,07,Chiapas,Maravilla Tenejapa
Z23,7,07,Chiapas,Marqués de Comillas
Z24,7,07,Chiapas,Montecristo de Guerrero
A73,8,08,Chihuahua,Ahumada
A74,8,08,Chihuahua,Aldama
A75,8,08,Chihuahua,Aquiles Serdán
A76,8,08,Chihuahua,Bachíniva
A77,8,08,Chihuahua,Camargo
A78,8,08,Chihuahua,Cuauhtémoc
A79,8,08,Chihuahua,Cusihuiriachi
A80,8,08,Chihuahua,Chihuahua
A81,8,08,Chihuahua,Delicias
A82,8,08,Chihuahua,Jiménez
A83,8,08,Chihuahua,Juárez
A84,8,08,Chihuahua,Julimes
A85,8,08,Chihuahua,Meoqui
A86,8,08,Chihuahua,Nuevo Casas Grandes
A87,8,08,Chihuahua,Riva Palacio
A88,8,08,Chihuahua,Rosales
A89,8,08,Chihuahua,Saucillo
A90,8,08,Chihuahua,Ascensión
A91,8,08,Chihuahua,Carichí
A92,8,08,Chihuahua,Santa Isabel
A93,8,08,Chihuahua,Gran Morelos
A94,8,08,Chihuahua,Guadalupe
A95,8,08,Chihuahua,Hidalgo del Parral
A96,8,08,Chihuahua,Madera
A97,8,08,Chihuahua,Praxedis G. Guerrero
A98,8,08,Chihuahua,San Francisco del Oro
A99,8,08,Chihuahua,Santa Bárbara
H80,8,08,Chihuahua,Ojinaga
L62,8,08,Chihuahua,López
L63,8,08,Chihuahua,Matamoros
L97,8,08,Chihuahua,Coronado
M01,8,08,Chihuahua,El Tule
M02,8,08,Chihuahua,Huejotitán
M03,8,08,Chihuahua,Valle de Zaragoza
M25,8,08,Chihuahua,Balleza
M26,8,08,Chihuahua,Rosario
M55,8,08,Chihuahua,Guerrero
M92,8,08,Chihuahua,Casas Grandes
M93,8,08,Chihuahua,Galeana
M94,8,08,Chihuahua,Janos
M95,8,08,Chihuahua,Matachí
M96,8,08,Chihuahua,Namiquipa
M97,8,08,Chihuahua,Gómez Farías
M98,8,08,Chihuahua,La Cruz
M99,8,08,Chihuahua,San Francisco de Conchos
N01,8,08,Chihuahua,Allende
N02,8,08,Chihuahua,Buenaventura
R28,8,08,Chihuahua,Bocoyna
R29,8,08,Chihuahua,Chínipas
R30,8,08,Chihuahua,Guadalupe y Calvo
R31,8,08,Chihuahua,Guazapares
R32,8,08,Chihuahua,Maguarichi
R33,8,08,Chihuahua,Morelos
R34,8,08,Chihuahua,Moris
R35,8,08,Chihuahua,Ocampo
R36,8,08,Chihuahua,Temósachic
R37,8,08,Chihuahua,Urique
R38,8,08,Chihuahua,Uruachi
R39,8,08,Chihuahua,Coyame del Sotol
R40,8,08,Chihuahua,Manuel Benavides
R41,8,08,Chihuahua,Batopilas
R42,8,08,Chihuahua,Dr. Belisario Domínguez
R43,8,08,Chihuahua,Guachochi
R44,8,08,Chihuahua,Nonoava
R45,8,08,Chihuahua,San Francisco de Borja
R46,8,08,Chihuahua,Satevó
R47,8,08,Chihuahua,Ignacio Zaragoza
Y77,8,08,Chihuahua,Juárez
Z42,8,08,Chihuahua,Chihuahua
B01,39,09,Ciudad de México,NA
B02,39,09,Ciudad de México,NA
B03,39,09,Ciudad de México,NA
B04,39,09,Ciudad de México,NA
B05,39,09,Ciudad de México,NA
B06,39,09,Ciudad de México,NA
B07,39,09,Ciudad de México,NA
B08,39,09,Ciudad de México,NA
B09,39,09,Ciudad de México,NA
B10,39,09,Ciudad de México,NA
B11,39,09,Ciudad de México,NA
B12,39,09,Ciudad de México,NA
B13,39,09,Ciudad de México,NA
B14,39,09,Ciudad de México,NA
B15,39,09,Ciudad de México,NA
B16,39,09,Ciudad de México,NA
B17,39,09,Ciudad de México,NA
B18,39,09,Ciudad de México,NA
B19,39,09,Ciudad de México,NA
B20,39,09,Ciudad de México,NA
B21,39,09,Ciudad de México,NA
B22,39,09,Ciudad de México,NA
B23,39,09,Ciudad de México,NA
Y50,39,09,Ciudad de México,NA
Y51,39,09,Ciudad de México,NA
Y52,39,09,Ciudad de México,NA
Y53,39,09,Ciudad de México,NA
Y54,39,09,Ciudad de México,NA
Y55,39,09,Ciudad de México,NA
Y56,39,09,Ciudad de México,NA
Y57,39,09,Ciudad de México,NA
Y58,39,09,Ciudad de México,NA
Y59,39,09,Ciudad de México,NA
Y60,39,09,Ciudad de México,NA
Y61,39,09,Ciudad de México,NA
Y62,39,09,Ciudad de México,NA
Y63,39,09,Ciudad de México,NA
Y64,39,09,Ciudad de México,NA
Y65,39,09,Ciudad de México,NA
Y66,39,09,Ciudad de México,NA
Y67,39,09,Ciudad de México,NA
Y68,39,09,Ciudad de México,NA
Y69,39,09,Ciudad de México,NA
B01,40,09,Ciudad de México,NA
B02,40,09,Ciudad de México,NA
B03,40,09,Ciudad de México,NA
B04,40,09,Ciudad de México,NA
B05,40,09,Ciudad de México,NA
B06,40,09,Ciudad de México,NA
B07,40,09,Ciudad de México,NA
B08,40,09,Ciudad de México,NA
B09,40,09,Ciudad de México,NA
B10,40,09,Ciudad de México,NA
B11,40,09,Ciudad de México,NA
B12,40,09,Ciudad de México,NA
B13,40,09,Ciudad de México,NA
B14,40,09,Ciudad de México,NA
B15,40,09,Ciudad de México,NA
B16,40,09,Ciudad de México,NA
B17,40,09,Ciudad de México,NA
B18,40,09,Ciudad de México,NA
B19,40,09,Ciudad de México,NA
B20,40,09,Ciudad de México,NA
B21,40,09,Ciudad de México,NA
B22,40,09,Ciudad de México,NA
B23,40,09,Ciudad de México,NA
Y50,40,09,Ciudad de México,NA
Y51,40,09,Ciudad de México,NA
Y52,40,09,Ciudad de México,NA
Y53,40,09,Ciudad de México,NA
Y54,40,09,Ciudad de México,NA
Y55,40,09,Ciudad de México,NA
Y56,40,09,Ciudad de México,NA
Y57,40,09,Ciudad de México,NA
Y58,40,09,Ciudad de México,NA
Y59,40,09,Ciudad de México,NA
Y60,40,09,Ciudad de México,NA
Y61,40,09,Ciudad de México,NA
Y62,40,09,Ciudad de México,NA
Y63,40,09,Ciudad de México,NA
Y64,40,09,Ciudad de México,NA
Y65,40,09,Ciudad de México,NA
Y66,40,09,Ciudad de México,NA
Y67,40,09,Ciudad de México,NA
Y68,40,09,Ciudad de México,NA
Y69,40,09,Ciudad de México,NA
Z39,40,09,Ciudad de México,NA
B24,10,10,Durango,Canatlán
B25,10,10,Durango,Cuencamé
B26,10,10,Durango,Durango
B27,10,10,Durango,El Oro
B28,10,10,Durango,Gómez Palacio
B29,10,10,Durango,Guadalupe Victoria
B30,10,10,Durango,Guanaceví
B31,10,10,Durango,Lerdo
B32,10,10,Durango,Mapimí
B33,10,10,Durango,Mezquital
B34,10,10,Durango,Ocampo
B35,10,10,Durango,Poanas
B36,10,10,Durango,Pueblo Nuevo
B37,10,10,Durango,San Dimas
B38,10,10,Durango,Tlahualilo
B39,10,10,Durango,Vicente Guerrero
M40,10,10,Durango,Indé
N03,10,10,Durango,Nombre de Dios
N04,10,10,Durango,Rodeo
N05,10,10,Durango,San Juan del Río
N06,10,10,Durango,Santiago Papasquiaro
N07,10,10,Durango,Tepehuanes
N08,10,10,Durango,Pánuco de Coronado
R48,10,10,Durango,Canelas
R49,10,10,Durango,Coneto de Comonfort
R50,10,10,Durango,Hidalgo
R51,10,10,Durango,Nazas
R52,10,10,Durango,Otáez
R53,10,10,Durango,Peñón Blanco
R54,10,10,Durango,San Bernardo
R55,10,10,Durango,San Luis del Cordero
R56,10,10,Durango,San Pedro del Gallo
R57,10,10,Durango,Tamazula
R58,10,10,Durango,Topia
R59,10,10,Durango,Súchil
