"1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","HS4","HS4 ID"
0.0164205514,0.0268250088,0.0054265326,-0.0235592046,0.0155538083,0.0642054493,0.1834822215,-0.3473777824,-0.230899579,-0.0457891554,0.1940703786,-0.1994750957,-0.1415051029,-0.367280678,-0.1023727454,-0.1939755965,-0.0783031121,-0.3612749066,-0.1405229389,-0.2483923533,-0.422101963,0.0988566513,-0.1715286147,0.3672110843,-0.1126655508,-0.0189259868,"Horses","0101"
0.162151538,0.1491105478,-0.0989783716,-0.5075807539,-0.3425990886,-0.6034400767,-0.6224614774,-0.2599936527,-0.3545072359,-0.3807931276,-0.5454325067,-0.3841399174,-0.5227385665,-0.8184552418,-0.9046774625,-0.8931349822,-0.8920777693,-0.9354273713,-0.9234845571,-0.853131461,-0.6610168414,-0.6893976473,-0.9774496209,-1.0111938109,-1.0844944303,-0.9312416097,"Bovine","0102"
-0.0059505162,0.1747029295,0.1346679026,0.1369705842,0.0072565842,0.1837170854,0.4448928351,0.4522872703,0.4801710648,0.59333651,0.6303181266,0.6454760313,0.6841144937,0.5115830048,0.3779521873,0.6387806087,0.7501812099,0.6000456206,0.4766999259,0.4744814434,0.4966371731,0.4732524912,0.3264935943,0.3399104057,0.3375422172,0.4302146384,"Pigs","0103"
0.2150081113,-0.4315862065,-0.6802037089,-1.1471982938,-1.6502841504,-1.6322572456,-1.5339298194,-1.6311761078,-1.6713542783,-1.5513543253,-1.6120824531,-1.4627224646,-1.4479881906,-1.6125737878,-1.4783991808,-1.4419765269,-1.5599864778,-1.4377795814,-1.5684993286,-1.7015123383,-1.6470890405,-1.5207650652,-1.696881178,-1.6184173174,-1.4896701827,-1.6161269431,"Sheep and Goats","0104"
0.1332357062,-0.0672830261,-0.1091612675,-0.0262770103,-0.1663672622,-0.4761656988,-0.6239212613,-0.6998557071,-0.4567209113,-0.056935201,0.0779832886,-0.0134515453,0.1779573534,0.0342216907,-0.1447133466,0.1437826275,0.2660673653,0.0874788494,0.1226300014,0.0357186487,-0.0328612358,-0.1054129231,-0.2658460948,-0.1655223016,-0.2539946965,-0.3575110939,"Poultry","0105"
,,,,,,-1.3984388465,-1.4105477729,-1.4558074621,-1.598506676,-1.4611711185,-1.556018287,-1.433088754,-1.4228894271,-1.5490163851,-1.5403408395,-1.5361758064,-1.4766502298,-1.4221064148,-1.4123696102,-1.4524905672,-1.324500223,-1.3109724749,-1.3203505094,-1.1685240657,-1.152400746,"Other Animals","0106"
0.3277401489,0.3371386471,0.2237197239,-0.0931987001,-0.1014236461,-0.0141250372,0.1698515428,-0.0578408892,-0.3559703941,-0.2377078768,-0.2168353345,-0.1316835982,-0.1564401325,-0.3811122428,-0.2222028975,-0.1508656206,-0.4136850548,-0.405187813,-0.4904044934,-0.4674801383,-0.5455533375,-0.5364767775,-0.6091643462,-0.6482845577,-0.5767538313,-0.5517441468,"Bovine Meat","0201"
-0.1941825464,-0.270122756,-0.4665619966,-0.5800860855,-0.6712343186,-0.7974639206,-0.7171007772,-1.0044900522,-1.2419519548,-1.3528371462,-1.2987005557,-1.1899284824,-1.2425240323,-1.3626921825,-1.3085733068,-1.1109839866,-0.8636273464,-1.0453874766,-1.0332598136,-0.9888105556,-0.811102307,-0.73645343,-0.9377066249,-1.0956759059,-1.1331163497,-1.096100696,"Frozen Bovine Meat","0202"
0.2533909411,0.5963659788,0.741038537,0.7841309157,0.6185943609,0.6380937547,0.6332851489,0.8916255135,0.8776725405,0.9462234317,0.9201832163,0.9075759401,0.8594509837,0.8379896689,0.8429415232,0.8787217417,0.6379744565,0.5566467276,0.549725146,0.7288222021,0.7843063881,0.7723830882,0.7249237969,0.6519894212,0.6114961843,0.6773055413,"Pig Meat","0203"
0.0768925029,-0.0368848943,-0.0573948665,-0.7437432081,-0.6944027965,-0.7947883403,-0.7746559047,-0.9564729815,-1.2225359322,-1.2369105684,-1.1631220458,-1.2717558507,-1.3837522578,-1.5010153133,-1.5328693193,-1.4273676793,-1.4004078979,-1.3440721047,-1.3735409445,-1.4815871119,-1.6323731803,-1.7166125154,-1.5240383397,-1.555091857,-1.6000077013,-1.5063850805,"Sheep and Goat Meat","0204"
,,,,,,,,,,-0.5511002471,-0.4658141224,-0.5124169246,-0.2646797757,-0.2300130748,-0.0496475854,,,,,,,,,,,"Horse Meat","0205"
0.0353606551,-0.010475131,-0.1277668426,-0.1896941524,-0.1653463852,-0.1599848526,-0.1751784051,-0.210554837,-0.485200227,-0.5391480362,-0.3776504034,-0.1220868134,-0.4023916607,-0.3795457532,-0.5405124306,-0.52965269,-0.6429489173,-0.5822470732,-0.5981577252,-0.659352359,-0.5936230531,-0.6138796601,-0.2987841615,-0.2948110527,-0.5719276928,-0.5535615389,"Edible Offal","0206"
0.2297541437,0.3088107707,0.1026182078,0.2674971606,0.2695942628,0.3111254305,0.1280718749,0.074601064,0.2211181062,0.3976605506,0.157541666,0.1940243027,0.1599305491,0.2608991987,0.0979855579,0.2393597498,0.2385982072,0.2498237711,0.3009187968,0.0417148548,-0.055480774,-0.0722982037,-0.113085878,-0.114632469,0.0041744072,-0.138713345,"Poultry Meat","0207"
-0.3417212285,-0.2922737839,-0.3178097153,-0.3345143858,-0.1948013861,-0.0530180434,-0.0272513715,-0.0553386133,-0.2277784424,-0.1175992851,-0.1258516979,-0.2135212355,-0.4605610946,-0.5589056981,-0.1993912574,0.1213909375,-0.0061110946,-0.0807059522,-0.0593355114,-0.0385188633,-0.0494556477,-0.1080412133,-0.0153829534,-0.0012843188,-0.0622166813,0.1786753349,"Other Meat","0208"
,,,,,,,,0.6281215629,0.681696764,0.6881678706,0.8776898212,0.8454774333,0.8422594989,0.835134164,0.764015359,0.522588473,0.4446073154,0.3724292524,0.3224107555,0.4495609411,0.6062381202,0.5803035629,0.4403150391,0.363938752,0.3869651152,"Animal Fat","0209"
0.5523334479,0.6889904317,0.6515432847,0.6662177952,0.6400258103,0.4223993923,0.0505208465,0.0183801582,0.2589462224,0.3186861646,0.0718939268,0.1340359176,0.1358429048,-0.1375074395,0.0114635701,0.0577943127,0.2840411737,0.2952445954,0.1863908947,0.1243547759,0.1980913471,0.2249684679,0.0418101133,-0.143608671,0.112067064,0.0600401351,"Preserved Meat","0210"
-1.3626271391,-1.2800109347,-1.2006580327,-1.0539709506,-1.1479906094,-1.1259272077,-1.1166259737,-1.184990049,-1.0422076425,-1.1409154924,-0.9483021854,-1.0745862359,-0.9696472261,-0.7285462727,-0.7778126169,-0.7386174145,-0.7047563495,-0.7048415358,-0.7399956573,-0.7584319859,-0.9611397288,-1.0963973349,-0.7627737737,-0.5500335472,-0.4137556821,-0.4435474557,"Live Fish","0301"
-1.0571362555,-1.2526793813,-1.2737015844,-1.244243526,-1.0888405867,-1.0220070735,-1.1835545872,-1.2973964235,-1.4487817256,-1.6054648902,-1.6334403099,-1.5640258029,-1.5854968567,-1.3425359458,-1.4104292888,-1.468943803,-1.4239176785,-1.4456677529,-1.5116315982,-1.4389473331,-1.1873399774,-1.3372229217,-1.4160409777,-1.3334661026,-1.3306480352,-1.2945934489,"Non-fillet Fresh Fish","0302"
-1.4991993111,-1.4784133957,-1.4592820327,-1.518200441,-1.4249320093,-1.432305939,-1.466501284,-1.4593609512,-1.5916212113,-1.6934782099,-1.6923043696,-1.6499262423,-1.6443617497,-1.5271356767,-1.3985659848,-1.5240001059,-1.6112593184,-1.6358289399,-1.8397501666,-1.7765016052,-1.7514925831,-1.7368069047,-1.7004992517,-1.8846880083,-1.7036791558,-1.5862305619,"Non-fillet Frozen Fish","0303"
