ciiu,tag,year,import_weighted_value,share_on_total_imports,variable,division,seccion,ciiu_nombre,pci,cog,distance,rca
10-X01,paises_interes,2020,128556587.7499999,0.07018101647316095,10-X01,Productos Alimenticios,Industrias manufactureras,Elaboración De Comidas Y Platos Preparados,1.539049765922791,0.6005242816302929,0.8179409495354271,0.0236113795499317
10-X01,paises_interes,2021,137618560.16666657,0.06517489387370728,10-X01,Productos Alimenticios,Industrias manufactureras,Elaboración De Comidas Y Platos Preparados,1.539049765922791,0.6005242816302929,0.8179409495354271,0.0236113795499317
10-X01,paises_interes,2022,177691626.6666665,0.06809419315514004,10-X01,Productos Alimenticios,Industrias manufactureras,Elaboración De Comidas Y Platos Preparados,1.539049765922791,0.6005242816302929,0.8179409495354271,0.0236113795499317
10-X01,paises_interes,2023,134249724.49999988,0.04688411358073639,10-X01,Productos Alimenticios,Industrias manufactureras,Elaboración De Comidas Y Platos Preparados,1.539049765922791,0.6005242816302929,0.8179409495354271,0.0236113795499317
10-X01,rest_of_world,2020,1703229188.666665,0.929818983526839,10-X01,Productos Alimenticios,Industrias manufactureras,Elaboración De Comidas Y Platos Preparados,1.539049765922791,0.6005242816302929,0.8179409495354271,0.0236113795499317
10-X01,rest_of_world,2021,1973908624.416665,0.9348251061262928,10-X01,Productos Alimenticios,Industrias manufactureras,Elaboración De Comidas Y Platos Preparados,1.539049765922791,0.6005242816302929,0.8179409495354271,0.0236113795499317
10-X01,rest_of_world,2022,2431805871.333331,0.9319058068448599,10-X01,Productos Alimenticios,Industrias manufactureras,Elaboración De Comidas Y Platos Preparados,1.539049765922791,0.6005242816302929,0.8179409495354271,0.0236113795499317
10-X01,rest_of_world,2023,2729187679.916664,0.9531158864192636,10-X01,Productos Alimenticios,Industrias manufactureras,Elaboración De Comidas Y Platos Preparados,1.539049765922791,0.6005242816302929,0.8179409495354271,0.0236113795499317
1073,paises_interes,2020,193330917.48888886,0.09494274335741273,1073,Productos Alimenticios,Industrias manufactureras,Elaboración De Cacao Y Chocolate Y De Productos De Confitería ,1.2241326139626834,0.5160761751075663,0.974624215035288,0.3945064599533357
1073,paises_interes,2021,204425742.6222222,0.08983343393177713,1073,Productos Alimenticios,Industrias manufactureras,Elaboración De Cacao Y Chocolate Y De Productos De Confitería ,1.2241326139626834,0.5160761751075663,0.974624215035288,0.3945064599533357
1073,paises_interes,2022,258424152.22222215,0.1015716069537016,1073,Productos Alimenticios,Industrias manufactureras,Elaboración De Cacao Y Chocolate Y De Productos De Confitería ,1.2241326139626834,0.5160761751075663,0.974624215035288,0.3945064599533357
1073,paises_interes,2023,208451816.79999995,0.08270914612309484,1073,Productos Alimenticios,Industrias manufactureras,Elaboración De Cacao Y Chocolate Y De Productos De Confitería ,1.2241326139626834,0.5160761751075663,0.974624215035288,0.3945064599533357
1073,rest_of_world,2020,1842958646.644444,0.9050572566425873,1073,Productos Alimenticios,Industrias manufactureras,Elaboración De Cacao Y Chocolate Y De Productos De Confitería ,1.2241326139626834,0.5160761751075663,0.974624215035288,0.3945064599533357
1073,rest_of_world,2021,2071182944.1999996,0.9101665660682229,1073,Productos Alimenticios,Industrias manufactureras,Elaboración De Cacao Y Chocolate Y De Productos De Confitería ,1.2241326139626834,0.5160761751075663,0.974624215035288,0.3945064599533357
1073,rest_of_world,2022,2285831668.5999994,0.8984283930462983,1073,Productos Alimenticios,Industrias manufactureras,Elaboración De Cacao Y Chocolate Y De Productos De Confitería ,1.2241326139626834,0.5160761751075663,0.974624215035288,0.3945064599533357
1073,rest_of_world,2023,2311847649.1111107,0.917290853876905,1073,Productos Alimenticios,Industrias manufactureras,Elaboración De Cacao Y Chocolate Y De Productos De Confitería ,1.2241326139626834,0.5160761751075663,0.974624215035288,0.3945064599533357
1102,paises_interes,2020,919699.6363636362,0.0009735973262834018,1102,Bebidas,Industrias manufactureras,Elaboración De Vinos ,4.452701494953877,1.683083686379635,0.9700936387535448,0.0607165857023298
1102,paises_interes,2021,1330491.2727272725,0.0010967067658306743,1102,Bebidas,Industrias manufactureras,Elaboración De Vinos ,4.452701494953877,1.683083686379635,0.9700936387535448,0.0607165857023298
1102,paises_interes,2022,2120147.3636363633,0.0016652127745552248,1102,Bebidas,Industrias manufactureras,Elaboración De Vinos ,4.452701494953877,1.683083686379635,0.9700936387535448,0.0607165857023298
1102,paises_interes,2023,5717557.363636363,0.004835538102896643,1102,Bebidas,Industrias manufactureras,Elaboración De Vinos ,4.452701494953877,1.683083686379635,0.9700936387535448,0.0607165857023298
1102,rest_of_world,2020,943720976.2727271,0.9990264026737166,1102,Bebidas,Industrias manufactureras,Elaboración De Vinos ,4.452701494953877,1.683083686379635,0.9700936387535448,0.0607165857023298
1102,rest_of_world,2021,1211839076.181818,0.9989032932341694,1102,Bebidas,Industrias manufactureras,Elaboración De Vinos ,4.452701494953877,1.683083686379635,0.9700936387535448,0.0607165857023298
1102,rest_of_world,2022,1271078927.272727,0.9983347872254449,1102,Bebidas,Industrias manufactureras,Elaboración De Vinos ,4.452701494953877,1.683083686379635,0.9700936387535448,0.0607165857023298
1102,rest_of_world,2023,1176685981.181818,0.9951644618971035,1102,Bebidas,Industrias manufactureras,Elaboración De Vinos ,4.452701494953877,1.683083686379635,0.9700936387535448,0.0607165857023298
1103,paises_interes,2020,8955049.0,0.005637192708789594,1103,Bebidas,Industrias manufactureras,Elaboración De Malta Y Licores De Malta ,2.063427727124336,0.0,0.7581865382679611,13.198518179968032
1103,paises_interes,2021,11761240.600000001,0.006761698296127926,1103,Bebidas,Industrias manufactureras,Elaboración De Malta Y Licores De Malta ,2.063427727124336,0.0,0.7581865382679611,13.198518179968032
1103,paises_interes,2022,14547134.200000001,0.008025531309155523,1103,Bebidas,Industrias manufactureras,Elaboración De Malta Y Licores De Malta ,2.063427727124336,0.0,0.7581865382679611,13.198518179968032
1103,paises_interes,2023,18311071.7,0.010251971570300484,1103,Bebidas,Industrias manufactureras,Elaboración De Malta Y Licores De Malta ,2.063427727124336,0.0,0.7581865382679611,13.198518179968032
1103,rest_of_world,2020,1579610299.5,0.9943628072912104,1103,Bebidas,Industrias manufactureras,Elaboración De Malta Y Licores De Malta ,2.063427727124336,0.0,0.7581865382679611,13.198518179968032
1103,rest_of_world,2021,1727630268.0,0.9932383017038722,1103,Bebidas,Industrias manufactureras,Elaboración De Malta Y Licores De Malta ,2.063427727124336,0.0,0.7581865382679611,13.198518179968032
1103,rest_of_world,2022,1798059862.1000001,0.9919744686908445,1103,Bebidas,Industrias manufactureras,Elaboración De Malta Y Licores De Malta ,2.063427727124336,0.0,0.7581865382679611,13.198518179968032
1103,rest_of_world,2023,1767791394.0000002,0.9897480284296994,1103,Bebidas,Industrias manufactureras,Elaboración De Malta Y Licores De Malta ,2.063427727124336,0.0,0.7581865382679611,13.198518179968032
1311,paises_interes,2020,437032269.47680676,0.8413655679649666,1311,Productos Textiles,Industrias manufactureras,Preparación E Hilatura De Fibras Textiles ,1.940721040450444,0.0,0.8129049328802606,13.21499737473216
1311,paises_interes,2021,224876329.21865547,0.7192847954099805,1311,Productos Textiles,Industrias manufactureras,Preparación E Hilatura De Fibras Textiles ,1.940721040450444,0.0,0.8129049328802606,13.21499737473216
1311,paises_interes,2022,227203777.4882353,0.7239105454063434,1311,Productos Textiles,Industrias manufactureras,Preparación E Hilatura De Fibras Textiles ,1.940721040450444,0.0,0.8129049328802606,13.21499737473216
1311,paises_interes,2023,191884223.56168067,0.7092065641946985,1311,Productos Textiles,Industrias manufactureras,Preparación E Hilatura De Fibras Textiles ,1.940721040450444,0.0,0.8129049328802606,13.21499737473216
1311,rest_of_world,2020,82399813.45697477,0.15863443203503336,1311,Productos Textiles,Industrias manufactureras,Preparación E Hilatura De Fibras Textiles ,1.940721040450444,0.0,0.8129049328802606,13.21499737473216
1311,rest_of_world,2021,87762462.3332773,0.28071520459001964,1311,Productos Textiles,Industrias manufactureras,Preparación E Hilatura De Fibras Textiles ,1.940721040450444,0.0,0.8129049328802606,13.21499737473216
1311,rest_of_world,2022,86652373.56521007,0.27608945459365675,1311,Productos Textiles,Industrias manufactureras,Preparación E Hilatura De Fibras Textiles ,1.940721040450444,0.0,0.8129049328802606,13.21499737473216
1311,rest_of_world,2023,78677603.202521,0.2907934358053016,1311,Productos Textiles,Industrias manufactureras,Preparación E Hilatura De Fibras Textiles ,1.940721040450444,0.0,0.8129049328802606,13.21499737473216
1399,paises_interes,2020,1549819581.9220235,0.5837418538589254,1399,Productos Textiles,Industrias manufactureras, Otros Productos Textiles N.C.P. ,2.3931359235880905,0.0,0.9954694237182568,4.261125395878427
1399,paises_interes,2021,970006284.4541667,0.43093918584736035,1399,Productos Textiles,Industrias manufactureras, Otros Productos Textiles N.C.P. ,2.3931359235880905,0.0,0.9954694237182568,4.261125395878427
1399,paises_interes,2022,1146701121.8839285,0.38785492486962686,1399,Productos Textiles,Industrias manufactureras, Otros Productos Textiles N.C.P. ,2.3931359235880905,0.0,0.9954694237182568,4.261125395878427
1399,paises_interes,2023,821669276.2261906,0.307616503649179,1399,Productos Textiles,Industrias manufactureras, Otros Productos Textiles N.C.P. ,2.3931359235880905,0.0,0.9954694237182568,4.261125395878427
1399,rest_of_world,2020,1105154653.1386905,0.41625814614107465,1399,Productos Textiles,Industrias manufactureras, Otros Productos Textiles N.C.P. ,2.3931359235880905,0.0,0.9954694237182568,4.261125395878427
1399,rest_of_world,2021,1280905947.0404763,0.5690608141526395,1399,Productos Textiles,Industrias manufactureras, Otros Productos Textiles N.C.P. ,2.3931359235880905,0.0,0.9954694237182568,4.261125395878427
1399,rest_of_world,2022,1809819598.5101192,0.6121450751303731,1399,Productos Textiles,Industrias manufactureras, Otros Productos Textiles N.C.P. ,2.3931359235880905,0.0,0.9954694237182568,4.261125395878427
1399,rest_of_world,2023,1849413927.9547617,0.6923834963508211,1399,Productos Textiles,Industrias manufactureras, Otros Productos Textiles N.C.P. ,2.3931359235880905,0.0,0.9954694237182568,4.261125395878427
1511,paises_interes,2020,13502774.171875,0.12450137610558071,1511,Productos De Cuero Y Productos Conexos,Industrias manufactureras,Curtido Y Adobo De Cueros; Adobo Y Teñido De Pieles ,4.0113918594584845,0.0,0.9576470312342864,1.6295480903090276
1511,paises_interes,2021,19234062.421875,0.14983899515194637,1511,Productos De Cuero Y Productos Conexos,Industrias manufactureras,Curtido Y Adobo De Cueros; Adobo Y Teñido De Pieles ,4.0113918594584845,0.0,0.9576470312342864,1.6295480903090276
1511,paises_interes,2022,20019416.546875,0.3182376411265568,1511,Productos De Cuero Y Productos Conexos,Industrias manufactureras,Curtido Y Adobo De Cueros; Adobo Y Teñido De Pieles ,4.0113918594584845,0.0,0.9576470312342864,1.6295480903090276
1511,paises_interes,2023,16274270.71875,0.11430867793266213,1511,Productos De Cuero Y Productos Conexos,Industrias manufactureras,Curtido Y Adobo De Cueros; Adobo Y Teñido De Pieles ,4.0113918594584845,0.0,0.9576470312342864,1.6295480903090276
1511,rest_of_world,2020,94952044.515625,0.8754986238944193,1511,Productos De Cuero Y Productos Conexos,Industrias manufactureras,Curtido Y Adobo De Cueros; Adobo Y Teñido De Pieles ,4.0113918594584845,0.0,0.9576470312342864,1.6295480903090276
1511,rest_of_world,2021,109130802.828125,0.8501610048480536,1511,Productos De Cuero Y Productos Conexos,Industrias manufactureras,Curtido Y Adobo De Cueros; Adobo Y Teñido De Pieles ,4.0113918594584845,0.0,0.9576470312342864,1.6295480903090276
1511,rest_of_world,2022,42887713.09375,0.6817623588734433,1511,Productos De Cuero Y Productos Conexos,Industrias manufactureras,Curtido Y Adobo De Cueros; Adobo Y Teñido De Pieles ,4.0113918594584845,0.0,0.9576470312342864,1.6295480903090276
1511,rest_of_world,2023,126096991.140625,0.8856913220673379,1511,Productos De Cuero Y Productos Conexos,Industrias manufactureras,Curtido Y Adobo De Cueros; Adobo Y Teñido De Pieles ,4.0113918594584845,0.0,0.9576470312342864,1.6295480903090276
1512,paises_interes,2020,1130059056.666669,0.473850977428838,1512,Productos De Cuero Y Productos Conexos,Industrias manufactureras," Maletas, Bolsos De Mano Y Artículos Similares, Y De Artículos De Talabartería Y Guarnicionería ",1.9190851701377791,0.0,0.973190905447973,7.074625944695851
1512,paises_interes,2021,1485696698.3333364,0.4764845310785031,1512,Productos De Cuero Y Productos Conexos,Industrias manufactureras," Maletas, Bolsos De Mano Y Artículos Similares, Y De Artículos De Talabartería Y Guarnicionería ",1.9190851701377791,0.0,0.973190905447973,7.074625944695851
1512,paises_interes,2022,1872496522.1666703,0.42227689616374275,1512,Productos De Cuero Y Productos Conexos,Industrias manufactureras," Maletas, Bolsos De Mano Y Artículos Similares, Y De Artículos De Talabartería Y Guarnicionería ",1.9190851701377791,0.0,0.973190905447973,7.074625944695851
1512,paises_interes,2023,1303269625.8333359,0.33115480049562895,1512,Productos De Cuero Y Productos Conexos,Industrias manufactureras," Maletas, Bolsos De Mano Y Artículos Similares, Y De Artículos De Talabartería Y Guarnicionería ",1.9190851701377791,0.0,0.973190905447973,7.074625944695851
1512,rest_of_world,2020,1254781558.8333359,0.526149022571162,1512,Productos De Cuero Y Productos Conexos,Industrias manufactureras," Maletas, Bolsos De Mano Y Artículos Similares, Y De Artículos De Talabartería Y Guarnicionería ",1.9190851701377791,0.0,0.973190905447973,7.074625944695851
